id;name;date;type
1;MCR;25.05.2019;CPX
2;Pohar CEZ;12.10.2019;CPX
3;Cup USK;08.12.2019;CPX
4;Cena Letnan;25.01.2020;CPX
5;Dukla Olomouc;22.02.2020;CPX
6;Dukla Olomouc;23.02.2020;CPX
7;MCR;19.09.2020;CPX
8;MCR;26.09.2021;CPX
9;Lázeňský pohár;23.10.2021;CPX
10;Zlatý kord města Písku;06.11.2021;CPX
11;Zlatý kord města Písku;07.11.2021;CPX
12;Letnany;27.11.2021;CPX
13;Memorial;18.12.2021;CPX
14;Dukla Olomouc;12.03.2022;CPX
15;Dukla Olomouc;13.03.2022;CPX
16;Teplice;15.04.2022;CPX
17;Ještěd;24.04.2022;CPX
18;MČR USK;21.05.2022;CPX
19;Lázeňský pohár;22.10.2022;CPX
20;Lázeňský pohár;23.10.2022;CPX
21;Zlatý kord města Písku;05.11.2022;CPX
22;Zlatý kord města Písku;06.11.2022;CPX
23;Memorial;17.12.2022;CPX
