id;Name;fencer_id;tournament_id;status;first_rank;final_rank;percentile;victories;victories_perc;ts;tr;score_index
1;ANDERLE Petr;6;5;Advanced;16;19;0,32;5;0,71;30;25;5
2;BALCAR Josef;8;5;Advanced;17;14;0,23;5;0,71;28;23;5
3;BELL Tristen;11;5;Eliminated;50;50;0,83;1;0,17;18;28;-10
4;BERAN Jiří;13;5;Advanced;3;2;0,03;6;1,00;30;15;15
5;BRADÁČ Petr;19;5;Advanced;27;24;0,40;3;0,50;26;21;5
6;CIMLER Čestmír;29;5;Advanced;27;37;0,62;3;0,50;26;21;5
7;CIMPA Miroslav;30;5;Advanced;49;49;0,82;1;0,17;19;29;-10
8;ČAPEK Martin;33;5;Advanced;11;8;0,13;5;0,83;29;17;12
9;ČUPR Michal;34;5;Advanced;4;3;0,05;6;0,86;33;12;21
10;D'AMICO Kristian;35;5;Advanced;2;3;0,05;7;1,00;35;17;18
11;DITRICH Jan;36;5;Advanced;40;16;0,27;3;0,43;20;30;-10
12;DOLEJŠÍ Marek;37;5;Advanced;13;18;0,30;5;0,83;26;21;5
13;DURYCH Martin;42;5;Advanced;6;9;0,15;6;0,86;32;22;10
14;ERNÉE Jan;44;5;Advanced;8;17;0,28;5;0,83;26;12;14
15;FÖLDES Tomáš;48;5;Advanced;22;23;0,38;4;0,57;30;23;7
16;GRUMMICH Petr;53;5;Advanced;33;38;0,63;3;0,50;15;27;-12
17;HABARTA Ondřej;54;5;Advanced;5;5;0,08;6;0,86;33;14;19
18;HERDA Jan;58;5;Advanced;42;32;0,53;2;0,33;24;28;-4
19;HLAVÁČ Jakub;61;5;Advanced;18;20;0,33;4;0,67;26;16;10
20;CHLEBÍK Michal;26;5;Advanced;38;29;0,48;3;0,43;22;28;-6
21;IVANČO Robin;71;5;Advanced;25;35;0,58;4;0,57;29;27;2
22;JEŘÁBEK Petr;76;5;Advanced;29;25;0,42;3;0,50;23;23;0
23;JÍLEK Jaroslav;83;5;Advanced;43;43;0,72;2;0,33;19;27;-8
24;JINDRA Jakub;77;5;Advanced;32;28;0,47;3;0,50;19;22;-3
25;JIRAN Jan;79;5;Eliminated;57;57;0,95;1;0,14;20;30;-10
26;JURKA Jakub;80;5;Advanced;7;10;0,17;5;0,83;27;11;16
27;JURKA Tomáš;81;5;Advanced;14;12;0,20;5;0,71;30;20;10
28;KARÁSEK Libor;91;5;Advanced;30;26;0,43;3;0,50;22;22;0
29;KAŠPAR Daniel;93;5;Advanced;15;13;0,22;5;0,71;32;24;8
30;KLSÁK Adam;96;5;Advanced;41;31;0,52;2;0,33;25;27;-2
31;KROUŽECKÝ Tomáš;110;5;Advanced;37;42;0,70;3;0,43;23;28;-5
32;KULT Pavel;117;5;Advanced;26;36;0,60;4;0,57;28;27;1
33;LORENC Adam;126;5;Advanced;47;47;0,78;2;0,29;25;33;-8
34;MAZANEC Matěj;135;5;Eliminated;59;59;0,98;0;0,00;5;35;-30
35;MIČINEC Adam;145;5;Eliminated;51;51;0,85;1;0,17;17;28;-11
36;OMELKA Jakub;158;5;Eliminated;52;52;0,87;1;0,17;17;29;-12
37;OSIČKA Adam;160;5;Advanced;20;15;0,25;4;0,57;30;19;11
38;PÁTEK Ondřej;174;5;DNF;999;999;1,00;0;0,00;0;0;0
39;PAVLÍK Matyáš;162;5;Advanced;9;6;0,10;5;0,83;28;15;13
40;POKORNÝ Jan;167;5;Eliminated;55;55;0,92;1;0,17;12;29;-17
41;POKORNÝ Richard;168;5;Advanced;1;1;0,02;7;1,00;35;15;20
42;PRYL Dobromil;171;5;Eliminated;54;54;0,90;1;0,17;14;27;-13
43;RUBEŠ Martin;177;5;Advanced;9;6;0,10;5;0,83;28;15;13
44;SALZER Jiří;182;5;Advanced;36;41;0,68;3;0,43;26;29;-3
45;SALZER Matěj;183;5;Advanced;23;33;0,55;4;0,57;28;21;7
46;SMRČEK Šimon;190;5;Advanced;39;30;0,50;3;0,43;23;32;-9
47;STEHLÍK Jan;198;5;Advanced;12;11;0,18;5;0,83;27;20;7
48;SVOBODA Tomáš (ml.);212;5;Advanced;48;48;0,80;1;0,17;19;27;-8
49;SVOBODA Tomáš Kristián (st.);213;5;Advanced;24;34;0,57;4;0,57;29;26;3
50;ŠPATENKA Martin;220;5;Advanced;34;39;0,65;3;0,43;28;28;0
51;ŠTULÍŘ Pavel;221;5;Eliminated;60;60;1,00;0;0,00;4;35;-31
52;ŠVANDA Pavel;224;5;Advanced;19;21;0,35;4;0,67;26;18;8
53;TÁBORSKÝ Lukáš;230;5;Eliminated;56;56;0,93;1;0,14;21;31;-10
54;TKACHENKO Danil;225;5;Advanced;45;45;0,75;2;0,29;26;31;-5
55;TREFILÍK Jakub;229;5;Eliminated;58;58;0,97;1;0,14;17;33;-16
56;TŮMA Marek;232;5;Advanced;35;40;0,67;3;0,43;26;28;-2
57;VALKOVIČ Martin;236;5;Eliminated;52;52;0,87;1;0,17;17;29;-12
58;VAŠÍČEK Martin;238;5;Advanced;31;27;0,45;3;0,50;24;25;-1
59;VÁVRA Antonín;244;5;Advanced;44;44;0,73;2;0,29;24;28;-4
60;VÁVRA Vojtěch;246;5;Advanced;46;46;0,77;2;0,29;21;28;-7
61;ZHÁŇAL Petr;255;5;Advanced;21;22;0,37;4;0,57;29;20;9
62;ANDERLE Petr;6;8;Advanced;34;42;0,52;3;0,50;24;22;2
63;BALCAR Josef;8;8;Advanced;1;5;0,06;6;1,00;30;10;20
64;BEDNÁR Kryštof;10;8;Advanced;28;39;0,48;4;0,67;25;23;2
65;BĚLOHOUBEK Matouš;25;8;Eliminated;65;65;0,80;1;0,20;13;21;-8
66;BERAN Jiří;13;8;Advanced;4;2;0,02;5;1,00;25;7;18
67;BRADÁČ Petr;19;8;Advanced;21;34;0,42;4;0,67;26;21;5
68;CIMLER Čestmír;29;8;Advanced;26;37;0,46;4;0,67;23;20;3
69;CIMPA Miroslav;30;8;Eliminated;66;66;0,81;1;0,20;11;24;-13
70;COUFAL František;31;8;Advanced;10;8;0,10;5;0,83;29;18;11
71;ČAPEK Martin;33;8;Advanced;5;6;0,07;6;1,00;30;13;17
72;ČUPR Michal;34;8;Advanced;9;3;0,04;5;0,83;27;11;16
73;D'AMICO Kristian;35;8;Advanced;12;17;0,21;5;0,83;28;18;10
74;DITRICH Jan;36;8;Advanced;39;29;0,36;3;0,50;23;23;0
